t,visible,lateral,tamano,confianza,vx,wz
11.133,1,-0.1827,0.9383,0.927,-0.4000,0.2500
11.199,1,-0.1841,0.9322,0.929,-0.4000,0.2500
11.267,1,-0.1854,0.9275,0.931,-0.4000,0.2500
11.335,1,-0.1861,0.9230,0.929,-0.4000,0.2500
11.398,1,-0.1864,0.9175,0.929,-0.4000,0.2500
11.465,1,-0.1861,0.9122,0.928,-0.4000,0.2500
11.530,1,-0.1840,0.9056,0.926,-0.4000,0.2500
11.597,1,-0.1786,0.8995,0.920,-0.4000,0.2500
11.664,1,-0.1684,0.8902,0.920,-0.4000,0.2500
11.729,1,-0.1563,0.8817,0.931,-0.3944,0.2500
11.797,1,-0.1406,0.8720,0.926,-0.3808,0.2091
11.867,1,-0.1213,0.8612,0.924,-0.3657,0.1673
11.930,1,-0.1000,0.8513,0.921,-0.3518,0.1295
11.998,1,-0.0795,0.8420,0.923,-0.3388,0.0886
12.063,1,-0.0632,0.8331,0.927,-0.3264,0.0496
12.130,1,-0.0501,0.8240,0.924,-0.3136,0.0098
12.198,1,-0.0425,0.8156,0.926,-0.3019,0.0000
12.261,1,-0.0414,0.8093,0.931,-0.2931,0.0000
12.330,1,-0.0466,0.8013,0.929,-0.2818,0.0000
12.391,1,-0.0577,0.7934,0.923,-0.2707,0.0000
12.461,1,-0.0790,0.7879,0.915,-0.2631,0.0000
12.530,1,-0.1033,0.7807,0.930,-0.2529,0.0000
12.593,1,-0.1348,0.7728,0.927,-0.2420,0.0000
12.648,1,-0.1618,0.7667,0.930,-0.2333,0.0326
12.702,1,-0.1906,0.7599,0.919,-0.2239,0.0650
12.762,1,-0.2247,0.7535,0.921,-0.2149,0.1012
12.831,1,-0.2634,0.7452,0.908,-0.2033,0.1428
12.893,1,-0.2995,0.7360,0.920,-0.2000,0.1799
12.961,1,-0.3393,0.7319,0.913,-0.2000,0.2204
13.030,1,-0.3717,0.7328,0.922,-0.2000,0.2618
13.096,1,-0.4018,0.7364,0.937,-0.2000,0.3014
